nconst	primaryName	knownForTitles
nm0470328	Werner Krauss	['tt0010323', 'tt0036249', 'tt0031868', 'tt0444777']
nm0891998	Conrad Veidt	['tt0034583', 'tt0010323', 'tt0032356', 'tt0034399']
nm0270415	Friedrich Feher	['tt0010323', 'tt0028196', 'tt1900859', 'tt0384123']
nm0903145	Hans Heinrich von Twardowski	['tt0010323', 'tt0035966', 'tt0011221', 'tt0025746']
nm0504811	Rudolf Lettinger	['tt0010323', 'tt0190164', 'tt0446160', 'tt0137922']
nm0459030	Rudolf Klein-Rogge	['tt0017136', 'tt0013086', 'tt0019415', 'tt0023563']
nm0459030	Rudolf Klein-Rogge	['tt0017136', 'tt0013086', 'tt0019415', 'tt0023563']
nm0487085	Hans Lanser-Ludolff	['tt0132266', 'tt7357778', 'tt1547448', 'tt4552260']
nm0487085	Hans Lanser-Ludolff	['tt0132266', 'tt7357778', 'tt1547448', 'tt4552260']
nm0676742	Henri Peters-Arnolds	['tt0460055', 'tt0249943', 'tt6191686', 'tt3842392']
nm0676742	Henri Peters-Arnolds	['tt0460055', 'tt0249943', 'tt6191686', 'tt3842392']
nm0720991	Ludwig Rex	['tt2322204', 'tt0362263', 'tt1339168', 'tt0010335']
nm0720991	Ludwig Rex	['tt2322204', 'tt0362263', 'tt1339168', 'tt0010335']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0001067	Jackie Coogan	['tt0013450', 'tt0014733', 'tt0012349', 'tt0057729']
nm0588033	Carl Miller	['tt0012349', 'tt0015091', 'tt0014624', 'tt0018979']
nm0042317	Albert Austin	['tt0021749', 'tt0013713', 'tt0014374', 'tt0015970']
nm0042317	Albert Austin	['tt0021749', 'tt0013713', 'tt0014374', 'tt0015970']
nm0074788	Henry Bergman	['tt0027977', 'tt0021749', 'tt0015864', 'tt0018773']
nm0074788	Henry Bergman	['tt0027977', 'tt0021749', 'tt0015864', 'tt0018773']
nm0080930	Edward Biby	['tt0006794', 'tt0006949', 'tt0144227']
nm0088471	B.F. Blinn	['tt0017433', 'tt0189434', 'tt0122407', 'tt0013967']
nm0775180	Max Schreck	['tt0013442', 'tt0012622', 'tt0014175', 'tt0019308']
nm0334603	Alexander Granach	['tt0013442', 'tt0031725', 'tt0035966', 'tt0036921']
nm0903194	Gustav von Wangenheim	['tt0013442', 'tt0019901', 'tt0027388', 'tt0042214']
nm0774114	Georg H. Schnell	['tt0013442', 'tt0189716', 'tt0010636', 'tt0016230']
nm0098774	Gustav Botz	['tt0013442', 'tt29604308', 'tt0471728', 'tt0440539']
nm0332024	John Gottowt	['tt0013442', 'tt0339636', 'tt0003419', 'tt0009483']
nm0625947	Max Nemetz	['tt0013442', 'tt1653862', 'tt0013373', 'tt0012195']
nm0374594	Wolfgang Heinz	['tt0013442', 'tt0022699', 'tt0055331', 'tt2618290']
nm0000036	Buster Keaton	['tt0017925', 'tt0015163', 'tt0015324', 'tt0016332']
nm0000036	Buster Keaton	['tt0017925', 'tt0015163', 'tt0015324', 'tt0016332']
nm0444172	Joe Keaton	['tt0015324', 'tt0017925', 'tt0014341', 'tt0011071']
nm0444172	Joe Keaton	['tt0015324', 'tt0017925', 'tt0014341', 'tt0011071']
nm0175068	Erwin Connelly	['tt0015324', 'tt0017567', 'tt0015612', 'tt0016332']
nm0175068	Erwin Connelly	['tt0015324', 'tt0017567', 'tt0015612', 'tt0016332']
nm0186440	Ward Crane	['tt0015324', 'tt0017508', 'tt0014866', 'tt0016658']
nm0186440	Ward Crane	['tt0015324', 'tt0017508', 'tt0014866', 'tt0016658']
nm0204639	George Davis	['tt0018773', 'tt0022263', 'tt0018666', 'tt0023209']
nm0031446	Aleksandr Antonov	['tt0015648', 'tt0049166', 'tt0029932', 'tt0019529']
nm0058290	Vladimir Barskiy	['tt0015648', 'tt0259581', 'tt0259614', 'tt0259199']
nm0017893	Grigoriy Aleksandrov	['tt0039954', 'tt0015648', 'tt0028420', 'tt0030947']
nm0090434	Ivan Bobrov	['tt0015648', 'tt0167227', 'tt0250477', 'tt0036196']
nm0327150	Mikhail Gomorov	['tt0015648', 'tt0351188', 'tt0052671', 'tt0018217']
nm0506298	Aleksandr Levshin	['tt0015648', 'tt21924088', 'tt21928276', 'tt0033119']
nm1158915	Konstantin Feldman	['tt0015648']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0841501	Mack Swain	['tt0015864', 'tt0020080', 'tt0018931', 'tt0004707']
nm0615306	Tom Murray	['tt0015864', 'tt0017483', 'tt0016998', 'tt0017290']
nm0074788	Henry Bergman	['tt0027977', 'tt0021749', 'tt0015864', 'tt0018773']
nm0906618	Malcolm Waite	['tt0015864', 'tt0021191', 'tt0020223', 'tt0015973']
nm1033900	Jack Adams	[]
nm1027682	Frank Aderias	[]
nm0002154	Alfred Abel	['tt0017136', 'tt0013086', 'tt0021128', 'tt0013496']
nm0297054	Gustav Fröhlich	['tt0017136', 'tt0904098', 'tt0048598', 'tt0041150']
nm0459030	Rudolf Klein-Rogge	['tt0017136', 'tt0013086', 'tt0019415', 'tt0023563']
nm0459030	Rudolf Klein-Rogge	['tt0017136', 'tt0013086', 'tt0019415', 'tt0023563']
nm0003248	Fritz Rasp	['tt0017136', 'tt0021818', 'tt0024967', 'tt0026645']
nm0003248	Fritz Rasp	['tt0017136', 'tt0021818', 'tt0024967', 'tt0026645']
nm0519765	Theodor Loos	['tt0022100', 'tt0017136', 'tt0015175', 'tt0132145']
nm0519765	Theodor Loos	['tt0022100', 'tt0017136', 'tt0015175', 'tt0132145']
nm0084430	Erwin Biswanger	['tt0017136', 'tt0015175', 'tt0015174', 'tt0248557']
nm0313447	Heinrich George	['tt0017136', 'tt0036989', 'tt0036752', 'tt0016338']
nm0313447	Heinrich George	['tt0017136', 'tt0036989', 'tt0036752', 'tt0016338']
nm0016641	Fritz Alberti	['tt0015175', 'tt0017438', 'tt0022930', 'tt0015174']
nm0016641	Fritz Alberti	['tt0015175', 'tt0017438', 'tt0022930', 'tt0015174']
nm0000036	Buster Keaton	['tt0017925', 'tt0015163', 'tt0015324', 'tt0016332']
nm0147070	Glen Cavender	['tt0017925', 'tt0014243', 'tt0463180', 'tt0006927']
nm0267650	Jim Farley	['tt0017925', 'tt0027421', 'tt0012105', 'tt0017074']
nm0089162	Frederick Vroom	['tt0017925', 'tt0015163', 'tt0011244', 'tt0187452']
nm1070961	Frank Barnes	['tt0017925', 'tt0040976']
nm0807667	Charles Henry Smith	['tt0017925', 'tt0016630', 'tt0012691', 'tt0013440']
nm0444172	Joe Keaton	['tt0015324', 'tt0017925', 'tt0014341', 'tt0011071']
nm0232592	Mike Donlin	['tt0017925', 'tt0017354', 'tt0008489', 'tt0009739']
nm0623189	Tom Nawn	['tt0017925', 'tt0005585', 'tt1601920']
nm0639563	George O'Brien	['tt0018455', 'tt0020223', 'tt0040369', 'tt0031630']
