nconst	primaryName	knownForTitles
nm0927468	Robert Wiene	['tt0010323', 'tt0007534', 'tt0199971', 'tt0024457']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0003638	F.W. Murnau	['tt0018455', 'tt0013442', 'tt0022458', 'tt0012973']
nm0000036	Buster Keaton	['tt0017925', 'tt0015163', 'tt0015324', 'tt0016332']
nm0001178	Sergei Eisenstein	['tt0037824', 'tt0029850', 'tt0015648', 'tt0079020']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0000485	Fritz Lang	['tt0057345', 'tt0022100', 'tt0017136', 'tt0038057']
nm0115669	Clyde Bruckman	['tt0017925', 'tt0015324', 'tt0015163', 'tt0014341']
nm0000036	Buster Keaton	['tt0017925', 'tt0015163', 'tt0015324', 'tt0016332']
nm0003638	F.W. Murnau	['tt0018455', 'tt0013442', 'tt0022458', 'tt0012973']
nm0003433	Carl Theodor Dreyer	['tt0058138', 'tt0023649', 'tt0048452', 'tt0019254']
nm0587277	Lewis Milestone	['tt0020629', 'tt0018515', 'tt0056264', 'tt0038988']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0115218	Tod Browning	['tt0021814', 'tt0022913', 'tt0021224', 'tt0018097']
nm0001843	James Whale	['tt0026138', 'tt0024184', 'tt0021884', 'tt0028249']
nm0000485	Fritz Lang	['tt0057345', 'tt0022100', 'tt0017136', 'tt0038057']
nm0115218	Tod Browning	['tt0021814', 'tt0022913', 'tt0021224', 'tt0018097']
nm0564970	Leo McCarey	['tt0050105', 'tt0036872', 'tt0031593', 'tt0028597']
nm0001008	Frank Capra	['tt0038650', 'tt0025316', 'tt0030993', 'tt0031679']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0001843	James Whale	['tt0026138', 'tt0024184', 'tt0021884', 'tt0028249']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0183183	William Cottrell	['tt0029583', 'tt0043274', 'tt0046183', 'tt0032910']
nm0359457	David Hand	['tt0034492', 'tt0029583', 'tt32452718', 'tt0142152']
nm0414144	Wilfred Jackson	['tt0042332', 'tt0029583', 'tt0043274', 'tt0046183']
nm0604392	Larry Morey	['tt0034492', 'tt0029583', 'tt2140373', 'tt5848272']
nm0002031	Michael Curtiz	['tt0034583', 'tt0029843', 'tt0026174', 'tt0037913']
nm0445033	William Keighley	['tt0029843', 'tt0033175', 'tt0028257', 'tt0040843']
nm0001328	Howard Hawks	['tt0040724', 'tt0061619', 'tt0053221', 'tt0056059']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0281808	Victor Fleming	['tt0031381', 'tt0032138', 'tt0028691', 'tt0035959']
nm0001008	Frank Capra	['tt0038650', 'tt0025316', 'tt0030993', 'tt0031679']
nm0000406	John Ford	['tt0045061', 'tt0032551', 'tt0033729', 'tt0031971']
nm0281808	Victor Fleming	['tt0031381', 'tt0032138', 'tt0028691', 'tt0035959']
nm0000406	John Ford	['tt0045061', 'tt0032551', 'tt0033729', 'tt0031971']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0001328	Howard Hawks	['tt0040724', 'tt0061619', 'tt0053221', 'tt0056059']
nm0002030	George Cukor	['tt0058385', 'tt0036855', 'tt0032904', 'tt0050631']
nm0272568	Norman Ferguson	['tt0033563', 'tt0032910', 'tt0029583', 'tt0043274']
nm0373429	T. Hee	['tt0032910', 'tt0039951', 'tt0055277', 'tt0038718']
nm0414144	Wilfred Jackson	['tt0042332', 'tt0029583', 'tt0043274', 'tt0046183']
nm0455741	Jack Kinney	['tt0033563', 'tt0032910', 'tt0038718', 'tt0046593']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0000080	Orson Welles	['tt0033467', 'tt0052311', 'tt0040525', 'tt0057427']
nm0035899	Samuel Armstrong	['tt0033563', 'tt0034492', 'tt0029583', 'tt0046593']
nm0272568	Norman Ferguson	['tt0033563', 'tt0032910', 'tt0029583', 'tt0043274']
nm0414144	Wilfred Jackson	['tt0042332', 'tt0029583', 'tt0043274', 'tt0046183']
nm0455741	Jack Kinney	['tt0033563', 'tt0032910', 'tt0038718', 'tt0046593']
nm0001379	John Huston	['tt0040897', 'tt0071315', 'tt0042208', 'tt0089841']
nm0019282	James Algar	['tt0047803', 'tt0046008', 'tt0052389', 'tt0047642']
nm0035899	Samuel Armstrong	['tt0033563', 'tt0034492', 'tt0029583', 'tt0046593']
nm0359457	David Hand	['tt0034492', 'tt0029583', 'tt32452718', 'tt0142152']
nm0373871	Graham Heid	['tt0034492', 'tt0032455']
nm0002031	Michael Curtiz	['tt0034583', 'tt0029843', 'tt0026174', 'tt0037913']
nm0003506	James Mangold	['tt3315342', 'tt1950186', 'tt0358273', 'tt1462764']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0001008	Frank Capra	['tt0038650', 'tt0025316', 'tt0030993', 'tt0031679']
nm0000697	Billy Wilder	['tt0053604', 'tt0053291', 'tt0047437', 'tt0043014']
nm0943758	William Wyler	['tt0036868', 'tt0052618', 'tt0046250', 'tt0051411']
nm0695937	Otto Preminger	['tt0046359', 'tt0052561', 'tt0037008', 'tt0046828']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0001328	Howard Hawks	['tt0040724', 'tt0061619', 'tt0053221', 'tt0056059']
nm0001008	Frank Capra	['tt0038650', 'tt0025316', 'tt0030993', 'tt0031679']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0780833	George Seaton	['tt0039628', 'tt0046874', 'tt0065377', 'tt0040104']
