tconst	primaryTitle	startYear	genres	actors	directors
tt0010323	The Cabinet of Dr. Caligari	1920.0	['Horror', 'Mystery', 'Thriller']	['nm0470328', 'nm0891998', 'nm0270415', 'nm0903145', 'nm0504811', 'nm0459030', 'nm0459030', 'nm0487085', 'nm0487085', 'nm0676742', 'nm0676742', 'nm0720991', 'nm0720991']	['nm0927468']
tt0012349	The Kid	1921.0	['Comedy', 'Drama', 'Family']	['nm0000122', 'nm0001067', 'nm0588033', 'nm0042317', 'nm0042317', 'nm0074788', 'nm0074788', 'nm0080930', 'nm0088471']	['nm0000122']
tt0013442	Nosferatu: A Symphony of Horror	1922.0	['Fantasy', 'Horror']	['nm0775180', 'nm0334603', 'nm0903194', 'nm0774114', 'nm0098774', 'nm0332024', 'nm0625947', 'nm0374594']	['nm0003638']
tt0015324	Sherlock Jr.	1924.0	['Action', 'Comedy', 'Romance']	['nm0000036', 'nm0000036', 'nm0444172', 'nm0444172', 'nm0175068', 'nm0175068', 'nm0186440', 'nm0186440', 'nm0204639']	['nm0000036']
tt0015648	Battleship Potemkin	1925.0	['Drama', 'History', 'Thriller']	['nm0031446', 'nm0058290', 'nm0017893', 'nm0090434', 'nm0327150', 'nm0506298', 'nm1158915']	['nm0001178']
tt0015864	The Gold Rush	1925.0	['Adventure', 'Comedy', 'Drama']	['nm0000122', 'nm0841501', 'nm0615306', 'nm0074788', 'nm0906618', 'nm1033900', 'nm1027682']	['nm0000122']
tt0017136	Metropolis	1927.0	['Drama', 'Sci-Fi']	['nm0002154', 'nm0297054', 'nm0459030', 'nm0459030', 'nm0003248', 'nm0003248', 'nm0519765', 'nm0519765', 'nm0084430', 'nm0313447', 'nm0313447', 'nm0016641', 'nm0016641']	['nm0000485']
tt0017925	The General	1926.0	['Action', 'Adventure', 'Comedy']	['nm0000036', 'nm0147070', 'nm0267650', 'nm0089162', 'nm1070961', 'nm0807667', 'nm0444172', 'nm0232592', 'nm0623189']	['nm0115669', 'nm0000036']
tt0018455	Sunrise	1927.0	['Drama', 'Romance']	['nm0639563', 'nm0531759', 'nm0802684', 'nm0396768', 'nm0092665', 'nm0082884']	['nm0003638']
tt0019254	The Passion of Joan of Arc	1928.0	['Biography', 'Drama', 'History']	['nm0798564', 'nm0075551', 'nm0776914', 'nm0037625', 'nm0800302', 'nm0195956', 'nm0712416', 'nm0527127', 'nm0036307']	['nm0003433']
tt0020629	All Quiet on the Western Front	1930.0	['Drama', 'War']	['nm0000817', 'nm0938464', 'nm0942046', 'nm0524803', 'nm0018273', 'nm0464131', 'nm0204113', 'nm0737253', 'nm0049055', 'nm0322345']	['nm0587277']
tt0021749	City Lights	1931.0	['Comedy', 'Drama', 'Romance']	['nm0000122', 'nm0616729', 'nm0305087', 'nm0003424', 'nm0008609', 'nm1033905', 'nm1035024', 'nm1033907']	['nm0000122']
tt0021814	Dracula	1931.0	['Drama', 'Fantasy', 'Horror']	['nm0000509', 'nm0543115', 'nm0296859', 'nm0888000', 'nm0120557', 'nm0314699']	['nm0115218']
tt0021884	Frankenstein	1931.0	['Drama', 'Horror', 'Sci-Fi']	['nm0166972', 'nm0000472', 'nm0092900', 'nm0888000', 'nm0449694', 'nm0296859', 'nm0069373', 'nm0082501']	['nm0001843']
tt0022100	M	1931.0	['Crime', 'Mystery', 'Thriller']	['nm0000048', 'nm0921532', 'nm0519765', 'nm0345073', 'nm0323479', 'nm0643997', 'nm0447349', 'nm0003586']	['nm0000485']
tt0022913	Freaks	1932.0	['Drama', 'Horror']	['nm0285922', 'nm0040374', 'nm0896109', 'nm0247361']	['nm0115218']
tt0023969	Duck Soup	1933.0	['Comedy', 'Musical']	['nm0000050', 'nm0555617', 'nm0555597', 'nm0555688', 'nm2580347', 'nm0129894', 'nm0106785', 'nm0455893']	['nm0564970']
tt0024216	King Kong	1933.0	['Adventure', 'Horror']	['nm0035877', 'nm0127677', 'nm0717046', 'nm0362742', 'nm0425903', 'nm0166170', 'nm0281329', 'nm0010017', 'nm0011490']	[]
tt0025316	It Happened One Night	1934.0	['Comedy', 'Romance']	['nm0000022', 'nm0175369', 'nm0439850', 'nm0858977', 'nm0002118', 'nm0398446', 'nm0933161', 'nm0010958']	['nm0001008']
tt0026029	The 39 Steps	1935.0	['Crime', 'Mystery', 'Thriller']	['nm0232196', 'nm0853607', 'nm0491406', 'nm0148144', 'nm0914931', 'nm0573790']	['nm0000033']
tt0026138	Bride of Frankenstein	1935.0	['Drama', 'Horror', 'Sci-Fi']	['nm0000472', 'nm0166972', 'nm0857658', 'nm0330200', 'nm0910498', 'nm0166974', 'nm0698139']	['nm0001843']
tt0027977	Modern Times	1936.0	['Comedy', 'Drama', 'Romance']	['nm0000122', 'nm0074788', 'nm0761866', 'nm0174682', 'nm0003424', 'nm0090008', 'nm0305087', 'nm0018685', 'nm0721637']	['nm0000122']
tt0029583	Snow White and the Seven Dwarfs	1937.0	['Adventure', 'Animation', 'Family']	['nm0830968', 'nm0830968', 'nm0041165', 'nm0041165', 'nm0118081', 'nm0118081', 'nm0172287', 'nm0172287', 'nm0172287', 'nm0172287', 'nm0173416', 'nm0173416', 'nm0173416', 'nm0173416', 'nm0173416', 'nm0173416', 'nm0317970', 'nm0317970', 'nm0363227', 'nm0363227']	['nm0183183', 'nm0359457', 'nm0414144', 'nm0604392']
tt0029843	The Adventures of Robin Hood	1938.0	['Action', 'Adventure', 'Romance']	['nm0001224', 'nm0001651', 'nm0001647', 'nm0461549', 'nm0657874', 'nm0002118', 'nm0178259', 'nm0402842']	['nm0002031', 'nm0445033']
tt0029947	Bringing Up Baby	1938.0	['Comedy']	['nm0000026', 'nm0749476', 'nm0146185', 'nm0280178', 'nm0270915', 'nm0410271']	['nm0001328']
tt0030341	The Lady Vanishes	1938.0	['Mystery', 'Thriller']	['nm0714878', 'nm0510134', 'nm0662116', 'nm0915614', 'nm0705509', 'nm0096376']	['nm0000033']
tt0031381	Gone with the Wind	1939.0	['Drama', 'Romance', 'War']	['nm0000022', 'nm0593775', 'nm0001660', 'nm0186347', 'nm0689318']	['nm0281808']
tt0031679	Mr. Smith Goes to Washington	1939.0	['Comedy', 'Drama']	['nm0000071', 'nm0001647', 'nm0036427', 'nm0452128', 'nm0593775', 'nm0657874', 'nm0912478', 'nm0002503']	['nm0001008']
tt0031971	Stagecoach	1939.0	['Adventure', 'Drama', 'Western']	['nm0000078', 'nm0222596', 'nm0001017', 'nm0593775', 'nm0051628', 'nm0576083', 'nm0161414', 'nm0392529']	['nm0000406']
tt0032138	The Wizard of Oz	1939.0	['Adventure', 'Family', 'Fantasy']	['nm0604656', 'nm0604656', 'nm0604656', 'nm0001961', 'nm0001961', 'nm0481618', 'nm0481618', 'nm0355095', 'nm0355095', 'nm0335788', 'nm0909930']	['nm0281808']
tt0032455	Fantasia	1940.0	['Animation', 'Family', 'Fantasy']	['nm0123553', 'nm0123553', 'nm0000370', 'nm0000370', 'nm0235079', 'nm0235079', 'nm0531763', 'nm0001513', 'nm0001513', 'nm1345229']	[]
tt0032551	The Grapes of Wrath	1940.0	['Drama']	['nm0000020', 'nm0001017', 'nm0335788', 'nm0801193', 'nm0925713', 'nm0702798', 'nm0703600']	['nm0000406']
tt0032553	The Great Dictator	1940.0	['Comedy', 'Drama', 'War']	['nm0000122', 'nm0000122', 'nm0642988', 'nm0306786', 'nm0199787', 'nm0317970', 'nm0214924', 'nm0608373']	['nm0000122']
tt0032599	His Girl Friday	1940.0	['Comedy', 'Drama', 'Romance']	['nm0000026', 'nm0000897', 'nm0516876', 'nm0356004', 'nm0874139', 'nm0249893', 'nm0463882', 'nm0439850', 'nm0421028']	['nm0001328']
tt0032904	The Philadelphia Story	1940.0	['Comedy', 'Romance']	['nm0000026', 'nm0000071', 'nm0397397', 'nm0950019', 'nm0356568', 'nm0199787']	['nm0002030']
tt0032910	Pinocchio	1940.0	['Adventure', 'Animation', 'Comedy']	['nm0427934', 'nm0427934', 'nm0427934', 'nm0427934', 'nm0747759', 'nm0747759', 'nm0000305', 'nm0000305', 'nm0110893', 'nm0110893', 'nm0118081', 'nm0118081', 'nm0146185', 'nm0146185', 'nm0201660', 'nm0201660', 'nm0249893', 'nm0249893']	['nm0272568', 'nm0373429', 'nm0414144', 'nm0455741']
tt0032976	Rebecca	1940.0	['Drama', 'Mystery', 'Romance']	['nm0000059', 'nm0001695', 'nm0115558', 'nm0219666', 'nm0807580', 'nm0178259']	['nm0000033']
tt0033467	Citizen Kane	1941.0	['Drama', 'Mystery']	['nm0000080', 'nm0001072', 'nm0001072', 'nm0172615', 'nm0762557', 'nm0762557', 'nm0806041', 'nm0020041', 'nm0829717']	['nm0000080']
tt0033563	Dumbo	1941.0	['Adventure', 'Animation', 'Drama']	['nm0001359', 'nm0001359', 'nm0112395', 'nm0112395', 'nm0082884', 'nm0082884', 'nm0088285', 'nm0088285', 'nm0158897', 'nm0158897', 'nm0249893', 'nm0249893', 'nm0292677', 'nm0390187', 'nm0390187']	['nm0035899', 'nm0272568', 'nm0414144', 'nm0455741']
tt0033870	The Maltese Falcon	1941.0	['Crime', 'Film-Noir', 'Mystery']	['nm0000007', 'nm0000048', 'nm0533692', 'nm0002113', 'nm0000955', 'nm0184578', 'nm0176879']	['nm0001379']
tt0034492	Bambi	1942.0	['Adventure', 'Animation', 'Drama']	['nm0017013', 'nm0017013', 'nm0018755', 'nm0018755', 'nm0066951', 'nm0066951', 'nm0205561', 'nm0205561', 'nm0205561', 'nm0205561']	['nm0019282', 'nm0035899', 'nm0359457', 'nm0373871']
tt0034583	Casablanca	1942.0	['Drama', 'Romance', 'War']	['nm0000007', 'nm0002134', 'nm0001647', 'nm0891998', 'nm0002113', 'nm0000048', 'nm0757064', 'nm0933330']	['nm0002031']
tt0035423	Kate & Leopold	2001.0	['Comedy', 'Fantasy', 'Romance']	['nm0413168', 'nm0000630', 'nm0005227', 'nm0925966', 'nm0925717', 'nm0336960', 'nm0821817', 'nm0697069']	['nm0003506']
tt0036342	Shadow of a Doubt	1943.0	['Film-Noir', 'Thriller']	['nm0001072', 'nm0136994', 'nm0871287', 'nm0002025', 'nm0285922', 'nm0060876', 'nm0045784']	['nm0000033']
tt0036613	Arsenic and Old Lace	1944.0	['Comedy', 'Crime', 'Thriller']	['nm0000026', 'nm0557339', 'nm0007217', 'nm0002143', 'nm0000048', 'nm0322299', 'nm0018514']	['nm0001008']
tt0036775	Double Indemnity	1944.0	['Crime', 'Drama', 'Film-Noir']	['nm0534045', 'nm0000064', 'nm0056477', 'nm0356004', 'nm0694631', 'nm0301348', 'nm0093769', 'nm0680139']	['nm0000697']
tt0036868	The Best Years of Our Lives	1946.0	['Drama', 'Romance', 'War']	['nm0000763', 'nm0545298', 'nm0005994', 'nm0751174', 'nm0092129']	['nm0943758']
tt0037008	Laura	1944.0	['Drama', 'Film-Noir', 'Mystery']	['nm0000763', 'nm0916067', 'nm0001637', 'nm0593372', 'nm0016251', 'nm0017044']	['nm0695937']
tt0038109	Spellbound	1945.0	['Film-Noir', 'Mystery', 'Romance']	['nm0000060', 'nm0155011', 'nm0001991', 'nm0256305', 'nm0516093', 'nm0329433', 'nm0314065', 'nm0193321']	['nm0000033']
tt0038355	The Big Sleep	1946.0	['Crime', 'Film-Noir', 'Mystery']	['nm0000007', 'nm0725891', 'nm0867538', 'nm0907289', 'nm0113184', 'nm0824496']	['nm0001328']
tt0038650	It's a Wonderful Life	1946.0	['Drama', 'Family', 'Fantasy']	['nm0000071', 'nm0000859', 'nm0593775', 'nm0871287', 'nm0269709', 'nm0000955', 'nm0912478']	['nm0001008']
tt0038787	Notorious	1946.0	['Drama', 'Film-Noir', 'Romance']	['nm0000026', 'nm0001647', 'nm0129894', 'nm0778306', 'nm0647752', 'nm0872683', 'nm0591615', 'nm0114878']	['nm0000033']
tt0039628	Miracle on 34th Street	1947.0	['Comedy', 'Drama', 'Family']	['nm0350324', 'nm0668361', 'nm0516876', 'nm0356004', 'nm0292433', 'nm0184578', 'nm0867282', 'nm0016776']	['nm0780833']
tt0040522	Bicycle Thieves	1948.0	['Drama']	['nm0536009', 'nm0821543', 'nm0759031', 'nm0157058', 'nm0031509', 'nm0757129', 'nm0346358']	['nm0001120']
tt0040746	Rope	1948.0	['Crime', 'Drama', 'Mystery']	['nm0000071', 'nm0197982', 'nm0335048', 'nm0389516', 'nm0225255', 'nm0362567', 'nm0000033']	['nm0000033']
tt0040897	The Treasure of the Sierra Madre	1948.0	['Adventure', 'Drama', 'Western']	['nm0000007', 'nm0404158', 'nm0392529', 'nm0071636', 'nm0533692', 'nm0066166', 'nm0815495', 'nm0232375', 'nm0869064', 'nm0526058']	['nm0001379']
tt0041959	The Third Man	1949.0	['Film-Noir', 'Mystery', 'Thriller']	['nm0000080', 'nm0001072', 'nm0002145', 'nm0405977', 'nm0222074', 'nm0690691', 'nm0108040', 'nm0496866']	['nm0715346']
tt0042192	All About Eve	1950.0	['Drama']	['nm0001695', 'nm0581282', 'nm0549280', 'nm0711855']	['nm0000581']
tt0042332	Cinderella	1950.0	['Animation', 'Family', 'Fantasy']	['nm0531763', 'nm0531763', 'nm0531763', 'nm0887887', 'nm0887887', 'nm0054036']	['nm0314671', 'nm0414144', 'nm0527217']
tt0042546	Harvey	1950.0	['Comedy', 'Drama', 'Fantasy']	['nm0000071', 'nm0285922', 'nm0528621', 'nm0924964', 'nm0445523', 'nm0236866']	['nm0467396']
tt0042876	Rashomon	1950.0	['Crime', 'Drama', 'Mystery']	['nm0001536', 'nm0605270', 'nm0793766', 'nm0156928', 'nm0879918', 'nm0441961']	['nm0000041']
